"date","deaths"
"01-1974",3035
"02-1974",2552
"03-1974",2704
"04-1974",2554
"05-1974",2014
"06-1974",1655
"07-1974",1721
"08-1974",1524
"09-1974",1596
"10-1974",2074
"11-1974",2199
"12-1974",2512
"01-1975",2933
"02-1975",2889
"03-1975",2938
"04-1975",2497
"05-1975",1870
"06-1975",1726
"07-1975",1607
"08-1975",1545
"09-1975",1396
"10-1975",1787
"11-1975",2076
"12-1975",2837
"01-1976",2787
"02-1976",3891
"03-1976",3179
"04-1976",2011
"05-1976",1636
"06-1976",1580
"07-1976",1489
"08-1976",1300
"09-1976",1356
"10-1976",1653
"11-1976",2013
"12-1976",2823
"01-1977",3102
"02-1977",2294
"03-1977",2385
"04-1977",2444
"05-1977",1748
"06-1977",1554
"07-1977",1498
"08-1977",1361
"09-1977",1346
"10-1977",1564
"11-1977",1640
"12-1977",2293
"01-1978",2815
"02-1978",3137
"03-1978",2679
"04-1978",1969
"05-1978",1870
"06-1978",1633
"07-1978",1529
"08-1978",1366
"09-1978",1357
"10-1978",1570
"11-1978",1535
"12-1978",2491
"01-1979",3084
"02-1979",2605
"03-1979",2573
"04-1979",2143
"05-1979",1693
"06-1979",1504
"07-1979",1461
"08-1979",1354
"09-1979",1333
"10-1979",1492
"11-1979",1781
"12-1979",1915
